Ticker,PE Ratio (TTM),PE Ratio (Current),Market Cap (log),Beta,Dividend Yield,EPS Growth (ROE x Retention),Cluster,Sector
NOW,57.288692,55.36309523809524,25.320990827320163,0.927,0.0,0.1607,4,Information Technology
LUV,33.086666,32.38,23.912005748538924,1.156,1.48,0.0523224,4,Industrials
STT,17.679695,17.63553299492386,24.598575048297754,1.451,1.93,0.07511087,4,Financials
STLD,26.359743,26.87152034261242,24.29294468792979,1.522,0.84,0.119292528,4,Materials
STE,25.392319,25.239294710327457,23.70128871026704,0.923,1.26,0.078416464,4,Health Care
SYF,7.7774324,7.837474120082815,23.95294290404494,1.321,1.58,0.19074924,4,Financials
TEL,20.940697,21.747443762781188,24.81394140891457,1.163,1.4,0.1612892729009999,4,Information Technology
TDY,31.025343,31.25443487075519,24.0682263113451,0.939,0.0,0.09049,4,Information Technology
TXN,51.923077,56.8,26.34526209022534,1.309,1.71,0.0160441119999999,4,Information Technology
TXT,16.526718,16.591603053435115,23.435227397366532,0.907,0.09,0.120665138,4,Industrials
TMO,25.53051,25.50907091808686,25.87413259480439,0.874,0.41,0.1221397359999999,4,Health Care
TTD,20.102274,20.477272727272727,22.84147328067633,1.018,0.0,0.16735001,4,Communication Services
TRMB,25.565447,25.774869109947645,23.155372463414743,1.373,0.0,0.08252,4,Information Technology
TYL,38.147793,38.02071823204419,23.15359399286064,0.814,0.0,0.08930001,4,Information Technology
UNP,21.457165,21.409390444810544,25.7644713440695,0.974,2.12,0.2233661481372,4,Industrials
UHS,6.071607,5.9557411273486425,22.89834623168433,1.081,0.56,0.206552754,4,Health Care
VEEV,28.06383,27.156028368794328,23.970205126790624,0.949,0.0,0.13934,4,Health Care
VMC,35.991695,36.1079478054567,24.39624274518984,1.06,0.68,0.102846036,4,Materials
WAB,38.77762,39.199716713881024,24.561697499132823,0.942,0.45,0.096103813501,4,Industrials
DIS,16.4448,16.392,25.907734796544347,1.394,1.46,0.08808,4,Communication Services
WAT,45.67516,45.63694267515924,24.28444084214868,1.202,0.0,0.05212,4,Health Care
WFC,12.979908,12.958268933539411,26.272321383856408,0.93,2.15,0.08774426,4,Financials
WST,44.584892,44.078877005347586,23.882842425606505,1.182,0.27,0.16930935,4,Health Care
WDAY,35.850468,35.21495327102804,24.07041904845039,1.081,0.0,0.10858,4,Information Technology
XYL,27.634327,27.80348258706468,23.996833152491345,1.04,1.54,0.05186418,4,Industrials
ABT,25.210085,24.602240896358545,25.77800207646697,0.62,2.87,0.0404185117556001,6,Health Care
AFL,13.486857,13.32,24.818698285072664,0.61,2.09,0.1204542627062,6,Financials
APD,29.889242,29.86392405063291,24.86793230948862,0.747,2.56,0.0300672019999999,6,Materials
LNT,23.404089,23.022012578616348,23.67933533715691,0.552,2.85,0.0399313662898001,6,Utilities
AEE,20.052158,19.73021582733813,24.15256584554258,0.49,2.73,0.0566205380719999,6,Utilities
AEP,19.638313,19.275147928994084,25.003158205573392,0.518,2.92,0.0558522337755,6,Utilities
AIG,13.522887,13.44542253521127,24.430111415762603,0.541,2.62,0.052755813,6,Financials
AWK,22.585257,22.18827708703375,23.93535452635088,0.613,2.87,0.042206427,6,Utilities
AMGN,24.145393,23.988865692414755,25.955775642543703,0.416,2.92,0.332120404,6,Health Care
APA,7.9405594,7.9720279720279725,23.21158026299688,0.327,2.92,0.201058173,6,Energy
ADM,34.203125,34.058035714285715,24.332157263491823,0.603,2.73,0.0040415677455999,6,Consumer Staples
ATO,21.275248,20.88546798029557,24.084898602145987,0.601,2.36,0.05178239808,6,Utilities
ADP,20.467848,20.0,25.198209354864694,0.845,3.17,0.28162764,6,Industrials
AVY,17.829391,17.734234234234233,23.217325478014672,0.833,2.54,0.177921462,6,Materials
BDX,25.03316,24.55671902268761,24.40016168400541,0.278,2.98,0.01804776,6,Health Care
BR,14.75911,14.58458244111349,23.49231749514392,0.888,2.86,0.25092202,6,Industrials
BF-B,17.856209,17.81699346405229,23.25188402410181,0.354,3.37,0.07174092,6,Consumer Staples
BG,29.519737,29.32105263157895,23.80352220690403,0.617,2.58,0.012983656,6,Consumer Staples
CNP,26.726994,26.45398773006135,24.07313107434356,0.461,2.13,0.04340694,6,Utilities
CI,11.967558,11.962680237489398,25.03607264866752,0.302,2.21,0.120683427164,6,Health Care
CINF,9.990566,9.860491709548317,24.020183102812272,0.584,2.18,0.1493179499999999,6,Financials
CFG,16.21801,16.11137440758294,24.088561083928123,1.021,2.71,0.0451106325478,6,Financials
CME,21.058872,20.92150170648464,25.213901005949936,0.244,2.12,0.0070680423675999,6,Financials
CMS,20.698896,20.386740331491712,23.86514596382194,0.352,3.09,0.0406686096473999,6,Utilities
KO,25.201258,25.00943396226415,26.566233137681092,0.354,2.67,0.1527562040556006,6,Consumer Staples
CTSH,9.010846,9.073752711496743,23.701262756761025,0.81,3.16,0.108103892,6,Information Technology
COP,18.705084,18.593220338983052,25.624465134207853,0.106,3.06,0.0508682738032,6,Energy
ED,18.355818,18.030354131534573,24.415002670460815,0.272,3.25,0.0367005959999999,6,Utilities
STZ,14.91051,14.72528616024974,23.925073609878353,0.384,2.91,0.130253292246,6,Consumer Staples
DRI,22.295263,22.31578947368421,23.9120569939956,0.587,2.83,0.1949720521319999,6,Consumer Discretionary
DVN,12.110027,11.991643454038996,24.638168664822448,0.419,2.42,0.1111940353259999,6,Energy
DG,16.173267,15.906647807637905,23.95102130420025,0.256,2.1,0.125978416218,6,Consumer Staples
DTE,24.462172,24.149671052631582,24.1553173451798,0.393,3.17,0.0269121859999999,6,Utilities
DUK,19.28,19.00307692307692,25.30515712187891,0.379,3.45,0.0335912912034,6,Utilities
ETR,28.95153,28.622448979591837,24.673847399119893,0.497,2.28,0.0394884229999999,6,Utilities
EOG,13.165684,13.060963618485744,24.9903907465988,0.256,3.07,0.110571015,6,Energy
ERIE,20.13749,19.399633363886345,23.164576158417766,0.307,2.77,0.12462285,6,Financials
EG,6.9535646,6.910386965376782,23.326735676657968,0.305,2.36,0.1157039592356,6,Financials
EVRG,22.444149,22.14095744680851,23.69126680447396,0.534,3.34,0.0244108455869002,6,Utilities
EXC,17.091576,16.82783882783883,24.58909599192768,0.41,3.66,0.039700424,6,Utilities
EXE,6.615328,6.580357142857143,23.780555841493857,0.322,3.61,0.1339735756259999,6,Energy
XOM,23.553854,23.31144781144781,27.08615453612226,0.149,2.98,0.031583727,6,Energy
FAST,40.561947,40.8141592920354,24.686365639728315,0.729,2.0,0.06886847,6,Industrials
FITB,18.23064,18.05050505050505,24.616559306386694,0.947,2.98,0.037565866,6,Financials
GILD,17.114286,16.989115646258504,25.774256383132418,0.331,2.63,0.2454175913279999,6,Health Care
HAL,19.39779,19.43093922651934,24.101904505980013,0.704,1.93,0.091316354757,6,Energy
HON,35.90976,36.497600000000006,25.680602867879426,0.843,2.09,0.0627952247208,6,Industrials
HST,17.166666,17.095238095238095,23.58587765240215,1.127,3.18,0.06777746,6,Real Estate
HII,18.262678,18.087776332899868,23.127306158200536,0.232,1.98,0.078701496,6,Industrials
IBM,23.300444,22.320353982300883,26.234543539403827,0.665,2.68,0.1449839016911999,6,Information Technology
JNJ,27.226616,26.800695249130936,27.06117669370803,0.256,2.32,0.1050035999999999,6,Health Care
KDP,22.6,22.866666666666667,24.449216347664393,0.424,2.98,0.02010372,6,Consumer Staples
KMI,21.684565,21.644295302013425,24.998321329822485,0.539,3.64,0.0227623623581999,6,Energy
KR,33.385963,32.60818713450292,24.278504485364717,0.416,2.51,0.0273926498542997,6,Consumer Staples
LMT,24.319923,23.926320891904997,25.474079591386054,0.106,2.8,0.23416971382,6,Industrials
MTB,12.852612,12.78663672094329,24.235467956115695,0.587,2.63,0.0691040714448001,6,Financials
MRSH,20.501873,19.99001248439451,25.09423523871302,0.611,2.25,0.154563026,6,Financials
MDT,21.514746,21.25201072386059,25.35530796598502,0.597,3.63,0.023480624807,6,Health Care
MRK,33.115494,32.52957746478874,26.394361753165004,0.218,2.94,0.0122757119999999,6,Health Care
MET,16.990328,16.93617021276596,24.757851326922616,0.783,2.71,0.0729955259999999,6,Financials
MDLZ,30.136139,29.46039603960396,25.08179579001929,0.4,3.36,0.0025199342206003,6,Consumer Staples
NEE,21.961927,21.84771573604061,25.918816174463142,0.671,2.9,0.0423841249999999,6,Utilities
NI,23.597015,23.69651741293533,23.847382623032168,0.547,2.52,0.039436738164,6,Utilities
PKG,28.28034,28.401699029126213,23.75642196103177,0.835,2.56,0.0640285249999999,6,Materials
PSX,16.737648,16.64130434782609,24.941484067342437,0.674,3.02,0.0754698389094,6,Energy
PNW,19.4375,19.11007462686567,23.25901492323415,0.438,3.55,0.031210135,6,Utilities
PNC,13.777906,13.64593023255814,25.278854796774024,0.918,2.9,0.073919128,6,Financials
PPL,22.079756,21.83435582822086,24.021953793245952,0.596,3.2,0.026910576,6,Utilities
PFG,16.025826,15.9583931133429,23.906662934582204,0.896,2.95,0.073743468491,6,Financials
PG,22.02193,21.590643274853804,26.583359218652276,0.385,2.88,0.11884784,6,Consumer Staples
PEG,18.053097,17.83407079646018,24.428585106515957,0.533,3.32,0.0582801759999999,6,Utilities
SLB,20.929514,21.123348017621147,24.9863707783393,0.708,2.46,0.069401644,6,Energy
SRE,31.306122,31.16326530612245,24.8203936795809,0.576,2.87,0.0067243979999999,6,Utilities
SNA,20.120745,20.15995872033024,23.72893057188698,0.736,2.5,0.095942742,6,Industrials
SO,24.216112,23.895140664961637,25.393647827765733,0.339,3.25,0.0267081342693001,6,Utilities
SYY,21.983334,21.66111111111111,24.356721635938374,0.66,2.82,0.327579976,6,Consumer Staples
TMUS,19.41295,19.11464968152866,26.0110416459204,0.301,2.27,0.107465044038,6,Communication Services
TSCO,14.827586,14.68472906403941,23.482385051287036,0.459,3.22,0.2465861668992,6,Consumer Discretionary
UNH,30.550753,30.577443609022556,26.634067335956185,0.65,2.28,0.0407043666628,6,Health Care
VLO,17.748905,17.794160583941608,25.002735999621596,0.553,1.97,0.10535495,6,Energy
WEC,22.981804,22.65330661322645,24.343704751581413,0.47,3.37,0.031825275,6,Utilities
WMB,33.026318,32.87280701754386,25.24605149309466,0.601,2.8,0.021975408,6,Energy
XEL,23.005764,22.711815561959657,24.631992258126708,0.408,3.01,0.03227035,6,Utilities
ACN,10.114217,9.970447284345047,25.073417638280056,1.069,5.22,0.119882272,3,Information Technology
AES,7.648438,7.630208333333334,23.072039752409676,0.946,4.8,0.0333168425336,3,Utilities
AMT,28.697899,28.502423263327948,25.139225729246668,0.891,3.96,0.053134848,3,Real Estate
T,7.4654603,7.269736842105264,25.78391304365914,0.395,5.02,0.116631136349,3,Communication Services
AVB,22.377476,22.263613861386137,23.967883017082087,0.789,3.96,0.012527791,3,Real Estate
BBY,13.5601845,14.075925925925926,23.459801243090553,1.33,5.05,0.1151221916416,3,Consumer Discretionary
BMY,15.505603,15.322128851540617,25.45099742042328,0.238,4.61,0.1160797980059999,3,Health Care
CMCSA,4.482353,4.376470588235295,25.125844195528437,0.658,5.91,0.155044216,3,Communication Services
D,20.28466,20.070796460176993,24.825573218538825,0.642,3.92,0.0207875840852,3,Utilities
EIX,7.931522,7.847826086956522,24.058266999697832,0.661,4.86,0.118711152,3,Utilities
ES,15.204496,15.014989293361886,24.008062753161376,0.727,4.49,0.037973765456,3,Utilities
FRT,21.319757,21.095320623916813,23.092786607601138,0.94,3.71,0.032788694,3,Real Estate
FIS,7.3333335,7.310077519379845,23.696686405299243,0.802,4.45,0.117508946555,3,Financials
FE,25.711956,25.413043478260867,24.03255181067001,0.458,3.98,0.0030842909261002,3,Utilities
BEN,25.9771,25.900763358778622,23.595883768652673,1.593,3.89,0.000509504,3,Financials
GIS,8.490219,8.151589242053792,23.642769100628,-0.041,7.32,0.095755869,3,Consumer Staples
HBAN,13.31154,13.115384615384617,24.280882628064273,0.969,3.64,0.0438671650616999,3,Financials
KVUE,21.714287,21.261904761904763,24.279212569025393,0.504,4.65,0.0023394442896999,3,Consumer Staples
KEY,14.082822,14.006134969325151,23.933177959603295,1.041,3.59,0.0495757090092,3,Financials
KMB,19.965183,19.43907156673114,24.25732851637449,0.302,5.09,0.0237978063092,3,Consumer Staples
MKC,7.742623,7.49672131147541,23.264668110310744,0.641,4.2,0.1774289999999999,3,Consumer Staples
OKE,15.577522,15.381461675579322,24.73166219731694,0.714,4.96,0.0411092549999999,3,Energy
PEP,22.238619,22.089481946624804,25.989271030845114,0.359,4.21,0.046862774136,3,Consumer Staples
PGR,10.943031,10.548321464903356,25.55361357262281,0.27,6.7,0.1110558051612,3,Financials
PRU,11.163749,11.149330587023686,24.351599930102687,0.855,5.17,0.0469891527155999,3,Financials
RF,12.06639,11.929460580912862,23.934765543254517,1.027,3.69,0.06737328,3,Financials
TROW,11.49396,11.586909871244634,23.85671586407502,1.519,4.82,0.084418208483,3,Financials
TGT,17.670845,17.114775725593667,24.83145792029233,0.991,3.58,0.0881260383955,3,Consumer Staples
TFC,12.152228,12.069306930693068,24.83686458433309,0.884,4.27,0.0416167338509999,3,Financials
USB,12.510482,12.301886792452832,25.255409728006217,0.999,3.54,0.0701603522724,3,Financials
VZ,11.279268,11.063414634146342,25.986467351267976,0.22,6.24,0.0559966828405999,3,Communication Services
VICI,9.070206,8.934931506849315,24.073819638724864,0.676,6.9,0.0441455759999999,3,Real Estate
ADBE,11.262872,11.149885583524028,25.08327454063786,1.404,0.0,0.62953997,2,Information Technology
AMP,11.730558,11.750000000000002,24.468248365647895,1.166,1.44,0.56259708,2,Financials
COR,21.672031,20.78773946360153,24.731067243600663,0.588,0.88,0.88256997438,2,Health Care
CL,35.279068,34.36821705426357,25.01143812757264,0.322,2.39,0.7046121872399999,2,Consumer Staples
DVA,20.421001,20.20038535645472,23.333724824530513,0.908,0.0,0.80981004,2,Health Care
EXPE,21.191528,21.007943512797883,24.084241790378936,1.257,0.74,0.6088428968506,2,Consumer Discretionary
IT,12.751482,12.423913043478262,22.87964601951149,0.932,0.0,0.94878,2,Information Technology
GEV,30.552532,32.99941469124963,26.359976037558503,1.045,0.18,0.718393212,2,Industrials
IDXX,39.85504,40.156732891832235,24.4780594415858,1.543,0.0,0.72915,2,Health Care
JBL,49.500675,50.77254374158816,24.381758579092104,1.287,0.08,0.630367444,2,Information Technology
KLAC,68.73088,76.24929178470256,26.481942006575704,1.504,0.34,0.7453716166079999,2,Information Technology
LRCX,69.829544,77.56439393939394,26.856849416638955,1.868,0.25,0.540171342,2,Information Technology
LVS,17.682655,17.638376383763838,24.181271264469416,0.811,2.3,0.554036875,2,Consumer Discretionary
LII,23.126165,23.813416259440245,23.62005140012663,1.19,1.01,0.59052279,2,Industrials
LLY,39.033627,39.21992882562277,27.60887985635055,0.517,0.63,0.8367832437459,2,Health Care
MSI,31.7046,31.656981436642457,24.90082325641913,0.89,1.23,0.62452781,2,Information Technology
NTAP,24.674015,24.930708661417324,24.14742199153639,1.434,1.31,0.7176794480201999,2,Information Technology
WDC,39.750896,43.86946107784431,26.15617440680118,2.2,0.08,0.836097202345,2,Information Technology
AKAM,40.881756,40.79054054054054,23.59077228380824,0.598,0.0,0.091680005,0,Information Technology
ALLE,17.719946,17.886612021857925,23.134413073314217,0.875,1.62,0.244653296316,0,Industrials
ALL,5.0823007,4.923893805309734,24.803084310139187,0.192,1.94,0.41137543971326,0,Financials
ACGL,7.1634617,7.08,24.205640842882097,0.306,0.0,0.21305999,0,Financials
AJG,35.09693,33.77705977382875,24.745409681755294,0.533,1.34,0.0400239825986,0,Financials
AIZ,13.62045,13.40748334187596,23.300944660646017,0.569,1.35,0.1491364479999999,0,Financials
BRK-B,14.702413,14.557342865653858,27.69356086132411,0.617,0.0,0.10499,0,Financials
BIIB,21.383995,21.451127819548873,24.103999827520067,0.177,0.0,0.077010006,0,Health Care
BSX,18.801254,18.548117154811713,24.924809801597217,0.559,0.0,0.14661,0,Health Care
BRO,19.690554,18.97068403908795,23.74317333190118,0.624,1.11,0.094787848,0,Financials
