Ticker,Market Cap,PE Ratio (TTM),PE Ratio (Current),Dividend Yield,Beta,Payout Ratio,Return on Equity (ROE),Retention Ratio,EPS Growth (ROE x Retention),Sector
COST,429021986816,50.21039,50.51064935064935,0.53,0.993,0.27040002,0.29650998,0.7295999799999999,0.21633367547780039,Consumer Staples
CTRA,25792495616,15.165179,15.16517857142857,2.59,0.353,0.39290002,0.12275,0.60709998,0.074521522545,Energy
CRH,69397979136,18.82214,18.234119782214158,1.49,1.203,0.26860002,0.15684,0.73139998,0.1147127728632,Materials
CRWD,104742625280,,,0.0,1.124,0.0,-0.04137,1.0,-0.04137,Information Technology
CCI,35225767936,32.055553,32.682539682539684,5.16,0.951,1.8859,,-0.8858999999999999,,Real Estate
CSX,72532008960,25.327923,24.785714285714285,1.47,1.263,0.3377,0.22511,0.6623,0.149090353,Industrials
CMI,75416240128,26.639338,26.039043435822354,1.47,1.127,0.3727,0.23928,0.6273,0.150100344,Industrials
CVS,90479656960,51.16547,51.42446043165468,3.72,0.464,1.9137,0.022869999,-0.9137,-0.0208963180863,Health Care
DHR,134473146368,37.73115,37.56944444444444,0.84,0.964,0.2545,0.07053,0.7455,0.052580115000000004,Health Care
DRI,23287179264,20.986374,21.284067085953883,2.95,0.599,0.608,0.51539004,0.392,0.20203289568000002,Consumer Discretionary
DDOG,45147889664,411.58063,403.48387096774195,0.0,1.36,0.0,0.03343,1.0,0.03343,Information Technology
DVA,10123613184,15.92429,15.70031545741325,0.0,0.931,0.0,0.64848,1.0,0.64848,Health Care
DECK,14834637824,14.458097,14.265625000000002,0.0,1.161,0.0,0.39688,1.0,0.39688,Consumer Discretionary
DE,152948260864,31.919392,31.551860202931234,1.16,0.961,0.3655,0.19566,0.6345000000000001,0.12414627000000002,Industrials
DELL,106487595008,18.491371,18.143843498273878,1.6,1.036,0.24190001,,0.7580999900000001,,Information Technology
DAL,42851905536,8.565274,8.281984334203655,1.18,1.35,0.0881,0.27693,0.9119,0.25253246700000004,Industrials
